creat_at,valTem,valCO2,valSon,valHum,ambiente
2025-09-25 20:54:00,19,1110,76,64,aceptable
2025-09-25 20:55:00,30,850,97,59,crítico
2025-09-25 20:56:00,23,1066,76,70,aceptable
2025-09-25 20:57:00,29,1127,111,48,crítico
2025-09-25 20:58:00,23,1102,70,58,óptimo
2025-09-25 20:59:00,31,837,86,53,crítico
2025-09-25 21:00:00,38,976,89,80,crítico
2025-09-25 21:01:00,29,1046,101,66,crítico
2025-09-25 21:10:00,16,1111,70,51,aceptable
2025-09-25 21:11:00,14,1274,75,61,crítico
2025-09-25 21:12:00,23,1412,81,58,aceptable
2025-09-25 21:13:00,31,1564,75,62,crítico
2025-09-25 21:14:00,18,1081,96,50,aceptable
2025-09-25 21:15:00,35,1143,76,56,aceptable
2025-09-25 21:16:00,16,1007,102,63,crítico
2025-09-25 21:17:00,25,1226,94,60,crítico
2025-09-25 21:18:00,21,1232,76,62,aceptable
2025-09-25 21:19:00,23,1592,89,51,crítico
2025-09-25 21:20:00,24,1310,101,63,crítico
2025-09-25 21:21:00,17,1000,100,67,crítico
2025-09-25 21:22:00,36,1488,82,80,crítico
2025-09-25 21:23:00,12,1117,73,55,aceptable
2025-09-25 21:24:00,9,1141,67,66,aceptable
2025-09-25 21:25:00,10,1477,91,40,crítico
2025-09-25 21:33:00,8,980,93,66,crítico
2025-09-25 21:34:00,22,1202,90,70,crítico
2025-09-25 21:35:00,19,1460,70,64,aceptable
2025-09-25 21:36:00,26,940,102,54,aceptable
2025-09-25 21:37:00,18,1255,80,56,aceptable
2025-09-25 21:38:00,20,1188,70,55,óptimo
2025-09-25 21:39:00,29,1345,69,44,aceptable
2025-09-25 21:40:00,25,1129,106,42,aceptable
2025-09-25 21:41:00,15,1078,84,62,crítico
2025-09-25 21:42:00,21,1502,71,46,aceptable
2025-09-25 21:43:00,26,1052,80,52,aceptable
2025-09-25 21:44:00,25,890,74,43,aceptable
2025-09-25 21:45:00,14,905,90,58,crítico
2025-09-25 21:46:00,23,932,86,55,aceptable
2025-09-25 21:47:00,23,1391,64,60,aceptable
2025-09-25 21:56:00,26,1666,84,47,aceptable
2025-09-25 21:57:00,24,817,68,60,óptimo
2025-09-25 21:58:00,26,1316,65,47,aceptable
2025-09-25 21:59:00,12,1110,90,54,crítico
2025-09-25 22:00:00,25,929,90,61,crítico
2025-09-25 22:01:00,14,1250,106,53,crítico
2025-09-25 22:02:00,18,1270,85,64,aceptable
2025-09-25 22:03:00,28,1239,88,50,crítico
2025-09-25 22:04:00,27,1311,74,58,crítico
2025-09-25 22:05:00,20,975,68,66,óptimo
2025-09-25 22:06:00,12,1250,86,70,crítico
2025-09-25 22:07:00,34,1378,96,49,crítico
2025-09-25 22:08:00,28,1151,87,53,crítico
2025-09-25 22:09:00,30,1076,84,67,crítico
2025-09-25 22:10:00,22,1213,77,60,aceptable
2025-09-25 22:11:00,21,1322,84,53,aceptable
2025-09-25 22:16:00,25,1765,93,50,crítico
2025-09-25 22:19:00,31,824,63,65,aceptable
2025-09-25 22:20:00,22,1108,87,63,aceptable
2025-09-25 22:21:00,11,1056,86,48,crítico
2025-09-25 22:22:00,21,952,75,70,aceptable
2025-09-25 22:23:00,18,870,100,61,aceptable
2025-09-25 22:24:00,36,1452,64,55,aceptable
2025-09-25 22:25:00,28,907,92,55,crítico
2025-09-25 22:26:00,30,1163,104,56,crítico
2025-09-25 22:27:00,33,1199,91,62,crítico
2025-09-25 22:28:00,18,1511,67,66,aceptable
2025-09-25 22:29:00,16,1006,75,70,crítico
2025-09-25 22:30:00,25,1558,99,50,crítico
2025-09-25 22:31:00,24,1119,103,52,aceptable
2025-09-25 22:37:00,44,1001,98,54,crítico
2025-09-25 22:38:00,30,1681,78,74,crítico
2025-09-25 22:39:00,35,932,100,67,crítico
2025-09-25 22:40:00,22,1456,82,59,aceptable
2025-09-25 22:41:00,17,1023,94,65,crítico
2025-09-25 22:42:00,7,1587,97,54,crítico
2025-09-25 22:43:00,28,1331,95,49,crítico
2025-09-25 22:44:00,15,996,63,58,aceptable
2025-09-25 22:45:00,32,1465,93,67,crítico
2025-09-25 22:46:00,43,1237,66,66,crítico
2025-09-25 22:47:00,14,1328,76,65,crítico
2025-09-25 22:48:00,28,1050,64,50,aceptable
2025-09-25 22:49:00,40,1180,82,61,crítico
2025-09-25 22:50:00,35,1203,83,65,crítico
2025-09-25 22:51:00,16,873,90,62,crítico
2025-09-25 22:59:00,26,1462,84,61,crítico
2025-09-25 23:00:00,39,1514,80,57,crítico
2025-09-25 23:01:00,33,1230,101,60,crítico
2025-09-25 23:02:00,21,1526,68,56,óptimo
2025-09-25 23:03:00,20,1431,70,62,aceptable
2025-09-25 23:04:00,27,1078,72,60,aceptable
2025-09-25 23:05:00,8,1645,87,65,crítico
2025-09-25 23:06:00,14,1472,87,70,crítico
2025-09-25 23:07:00,6,1429,75,46,crítico
2025-09-25 23:08:00,12,1256,55,58,aceptable
2025-09-25 23:09:00,24,1175,90,62,crítico
2025-09-25 23:10:00,23,1144,91,48,aceptable
2025-09-25 23:11:00,28,1209,69,77,crítico
2025-09-25 23:12:00,11,993,115,56,crítico
2025-09-25 23:13:00,18,756,109,54,óptimo
2025-09-25 23:22:00,30,1080,82,48,aceptable
2025-09-25 23:23:00,28,995,73,64,crítico
2025-09-25 23:24:00,40,1182,82,56,aceptable
2025-09-25 23:25:00,10,1355,79,59,crítico
2025-09-25 23:26:00,36,721,97,63,crítico
2025-09-25 23:27:00,27,954,92,59,crítico
2025-09-25 23:28:00,29,1341,90,59,crítico
2025-09-25 23:29:00,18,897,89,50,aceptable
2025-09-25 23:30:00,31,1347,68,54,aceptable
2025-09-25 23:31:00,13,1633,59,55,aceptable
2025-09-25 23:32:00,30,984,74,58,aceptable
2025-09-25 23:33:00,25,1082,96,57,aceptable
2025-09-25 23:34:00,27,1096,71,57,aceptable
2025-09-25 23:35:00,31,1462,112,56,crítico
2025-09-25 23:36:00,36,1315,92,58,crítico
2025-09-25 23:45:00,27,1347,82,65,crítico
2025-09-25 23:46:00,18,1134,74,47,óptimo
2025-09-25 23:47:00,32,1276,108,60,crítico
2025-09-25 23:48:00,32,1157,76,76,crítico
2025-09-25 23:49:00,10,1245,76,64,crítico
2025-09-25 23:50:00,20,1622,81,58,aceptable
2025-09-25 23:51:00,14,1382,62,63,crítico
2025-09-25 23:52:00,28,919,121,56,crítico
2025-09-25 23:53:00,13,1296,84,58,crítico
2025-09-25 23:54:00,18,1270,80,50,aceptable
2025-09-25 23:55:00,24,886,75,70,aceptable
2025-09-25 23:56:00,20,1273,87,56,aceptable
2025-09-25 23:57:00,33,1234,81,69,crítico
2025-09-25 23:58:00,24,1256,96,60,crítico
2025-09-25 23:59:00,31,1277,83,72,crítico
2025-09-26 00:08:00,21,1244,69,59,óptimo
2025-09-26 00:09:00,38,1151,70,72,aceptable
2025-09-26 00:10:00,16,1352,72,64,crítico
2025-09-26 00:11:00,29,1074,102,38,crítico
2025-09-26 00:12:00,32,1022,82,62,crítico
2025-09-26 00:13:00,28,1544,111,70,crítico
2025-09-26 00:14:00,18,1164,106,64,aceptable
2025-09-26 00:15:00,29,1082,98,65,crítico
2025-09-26 00:16:00,35,808,94,66,crítico
2025-09-26 00:17:00,32,976,94,70,crítico
2025-09-26 00:18:00,25,1092,98,75,crítico
2025-09-26 00:19:00,27,1318,73,56,crítico
2025-09-26 00:20:00,26,1002,77,53,aceptable
2025-09-26 00:21:00,14,1589,89,55,crítico
2025-09-26 00:22:00,37,1242,80,61,crítico
2025-09-26 00:26:00,35,1134,52,60,aceptable
2025-09-26 00:32:00,30,723,70,44,óptimo
2025-09-26 00:33:00,22,1411,78,63,aceptable
2025-09-26 00:34:00,40,1082,97,55,crítico
2025-09-26 00:35:00,7,1430,95,58,crítico
2025-09-26 00:36:00,36,1217,84,58,crítico
2025-09-26 00:37:00,23,1524,80,48,aceptable
2025-09-26 00:38:00,14,1497,83,58,crítico
2025-09-26 00:39:00,29,1472,59,50,aceptable
2025-09-26 00:40:00,33,1078,54,49,aceptable
2025-09-26 00:41:00,20,1450,68,56,óptimo
2025-09-26 00:42:00,25,872,107,39,crítico
2025-09-26 00:43:00,16,1138,102,78,crítico
2025-09-26 00:44:00,32,1333,100,63,crítico
2025-09-26 00:45:00,20,1299,80,65,aceptable
2025-09-26 00:46:00,28,1111,68,66,aceptable
2025-09-26 00:54:00,11,1234,65,63,crítico
2025-09-26 00:55:00,38,1042,96,61,crítico
2025-09-26 00:56:00,24,1166,79,60,aceptable
2025-09-26 00:57:00,17,928,78,50,aceptable
2025-09-26 00:58:00,26,1086,99,51,aceptable
2025-09-26 00:59:00,27,1011,74,58,aceptable
2025-09-26 01:00:00,20,970,76,60,óptimo
2025-09-26 01:01:00,18,1175,89,57,aceptable
2025-09-26 01:02:00,15,1412,80,58,crítico
2025-09-26 01:03:00,33,1235,95,44,crítico
2025-09-26 01:04:00,34,1285,100,53,crítico
2025-09-26 01:05:00,35,1428,66,76,crítico
2025-09-26 01:06:00,16,1275,74,56,crítico
2025-09-26 01:07:00,25,1324,76,54,aceptable
2025-09-26 01:08:00,14,1193,77,62,crítico
2025-09-26 01:09:00,39,939,94,76,crítico
2025-09-26 01:10:00,26,1280,88,84,crítico
2025-09-26 01:19:00,20,808,81,57,óptimo
2025-09-26 01:20:00,19,1505,88,53,aceptable
2025-09-26 01:21:00,40,1277,76,56,crítico
2025-09-26 01:22:00,15,1206,94,72,crítico
2025-09-26 01:23:00,26,1237,83,79,crítico
2025-09-26 01:24:00,24,777,73,52,óptimo
2025-09-26 01:25:00,22,864,107,59,aceptable
2025-09-26 01:26:00,28,986,83,72,crítico
2025-09-26 01:27:00,30,1350,102,58,crítico
2025-09-26 01:28:00,16,1293,79,50,crítico
2025-09-26 01:29:00,22,1619,74,44,aceptable
2025-09-26 01:30:00,21,1066,92,50,aceptable
